game_key,bot_a,bot_b,game_index,swapped,winner,winner_raw,num_moves,time
Random__VS__Heuristic__GAME__0,Random,Heuristic,0,False,Heuristic,-1,12,2.8486344814300537
Random__VS__Heuristic__GAME__1,Random,Heuristic,1,True,Heuristic,1,9,1.965172290802002
Random__VS__Heuristic__GAME__2,Random,Heuristic,2,False,Heuristic,-1,8,1.4839458465576172
Random__VS__Heuristic__GAME__3,Random,Heuristic,3,True,Heuristic,1,7,0.7015378475189209
Random__VS__Heuristic__GAME__4,Random,Heuristic,4,False,Heuristic,-1,6,0.7030129432678223
Random__VS__Heuristic__GAME__5,Random,Heuristic,5,True,Heuristic,1,7,1.116542100906372
Random__VS__Heuristic__GAME__6,Random,Heuristic,6,False,Heuristic,-1,6,0.6715741157531738
Random__VS__Heuristic__GAME__7,Random,Heuristic,7,True,Heuristic,1,7,0.9409985542297363
Random__VS__Heuristic__GAME__8,Random,Heuristic,8,False,Heuristic,-1,10,1.4759917259216309
Random__VS__Heuristic__GAME__9,Random,Heuristic,9,True,Heuristic,1,9,1.5733699798583984
Random__VS__Heuristic__GAME__10,Random,Heuristic,10,False,Heuristic,-1,6,0.6758918762207031
Random__VS__Heuristic__GAME__11,Random,Heuristic,11,True,Heuristic,1,7,1.2050042152404785
Random__VS__Heuristic__GAME__12,Random,Heuristic,12,False,Heuristic,-1,18,6.06606388092041
Random__VS__Heuristic__GAME__13,Random,Heuristic,13,True,Heuristic,1,7,0.8893544673919678
Random__VS__Heuristic__GAME__14,Random,Heuristic,14,False,Heuristic,-1,8,1.014000654220581
Random__VS__Heuristic__GAME__15,Random,Heuristic,15,True,Heuristic,1,9,1.5999751091003418
Random__VS__Heuristic__GAME__16,Random,Heuristic,16,False,Heuristic,-1,8,1.2291412353515625
Random__VS__Heuristic__GAME__17,Random,Heuristic,17,True,Heuristic,1,11,2.453150510787964
Random__VS__Heuristic__GAME__18,Random,Heuristic,18,False,Heuristic,-1,8,1.0348613262176514
Random__VS__Heuristic__GAME__19,Random,Heuristic,19,True,Heuristic,1,9,1.600416660308838
Random__VS__Heuristic__GAME__20,Random,Heuristic,20,False,Heuristic,-1,6,0.6640033721923828
