bot_a,bot_b,game_index,swapped,winner,winner_raw,num_moves,time
Random,Heuristic,0,False,Heuristic,-1,10,2.052813768386841
Random,Heuristic,1,True,Heuristic,1,7,0.8599286079406738
Random,Heuristic,2,False,Heuristic,-1,12,3.91886043548584
Random,Heuristic,3,True,Heuristic,1,11,2.9601290225982666
Random,Heuristic,4,False,Heuristic,-1,8,1.3121118545532227
Random,Heuristic,5,True,Heuristic,1,11,2.99540638923645
Random,Heuristic,6,False,Heuristic,-1,8,1.4430837631225586
Random,Heuristic,7,True,Heuristic,1,7,1.1916718482971191
Random,Heuristic,8,False,Heuristic,-1,8,1.3611171245574951
Random,Heuristic,9,True,Heuristic,1,7,1.3612167835235596
Random,Heuristic,10,False,Heuristic,-1,6,0.4716911315917969
Random,Heuristic,11,True,Heuristic,1,5,0.47907066345214844
Random,Heuristic,12,False,Heuristic,-1,10,2.427912473678589
Random,Heuristic,13,True,Heuristic,1,7,1.1877591609954834
Random,Heuristic,14,False,Heuristic,-1,10,2.9803502559661865
Random,Heuristic,15,True,Heuristic,1,5,0.6589598655700684
Random,Heuristic,16,False,Heuristic,-1,10,2.8359837532043457
Random,Heuristic,17,True,Heuristic,1,7,1.0540223121643066
Random,Heuristic,18,False,Heuristic,-1,10,1.7600555419921875
Random,Heuristic,19,True,Heuristic,1,7,0.9250805377960205
Random,Heuristic,20,False,Heuristic,-1,8,1.2980821132659912
Random,Heuristic,21,True,Heuristic,1,7,1.088270664215088
Random,Heuristic,22,False,Heuristic,-1,10,1.9644639492034912
Random,Heuristic,23,True,Heuristic,1,7,1.0175600051879883
Random,Heuristic,24,False,Heuristic,-1,6,0.6892130374908447
Random,Heuristic,25,True,Heuristic,1,4,0.44650769233703613
Random,Heuristic,26,False,Heuristic,-1,8,1.1218864917755127
Random,Heuristic,27,True,Heuristic,1,9,1.1933400630950928
Random,Heuristic,28,False,Heuristic,-1,14,3.1918511390686035
Random,Heuristic,29,True,Heuristic,1,5,0.47992515563964844
Random,Heuristic,30,False,Heuristic,-1,10,2.506544589996338
Random,Heuristic,31,True,Heuristic,1,11,1.8867695331573486
Random,Heuristic,32,False,Heuristic,-1,4,0.2571437358856201
Random,Heuristic,33,True,Heuristic,1,7,1.0427494049072266
Random,Heuristic,34,False,Heuristic,-1,10,2.2447569370269775
Random,Heuristic,35,True,Heuristic,1,7,1.1939401626586914
Random,Heuristic,36,False,Heuristic,-1,14,5.15627121925354
Random,Heuristic,37,True,Heuristic,1,5,0.46932411193847656
Random,Heuristic,38,False,Heuristic,-1,8,1.5497448444366455
Random,Heuristic,39,True,Heuristic,1,7,1.3544495105743408
Random,Heuristic,40,False,Heuristic,-1,6,0.6544620990753174
Random,Heuristic,41,True,Heuristic,1,5,0.4323248863220215
Random,Heuristic,42,False,Heuristic,-1,6,0.5788247585296631
Random,Heuristic,43,True,Heuristic,1,5,0.5116510391235352
Random,Heuristic,44,False,Heuristic,-1,10,2.1301956176757812
Random,Heuristic,45,True,Heuristic,1,13,4.912748336791992
Random,Heuristic,46,False,Heuristic,-1,6,0.4967482089996338
Random,Heuristic,47,True,Heuristic,1,7,0.916985273361206
Random,Heuristic,48,False,Heuristic,-1,5,0.6399619579315186
Random,Heuristic,49,True,Heuristic,1,17,5.630356311798096
Random,Heuristic,50,False,Heuristic,-1,10,1.8450438976287842
Random,Heuristic,51,True,Heuristic,1,9,1.3145191669464111
Random,Heuristic,52,False,Heuristic,-1,10,1.8245816230773926
Random,Heuristic,53,True,Heuristic,1,11,2.8871243000030518
Random,Heuristic,54,False,Heuristic,-1,10,1.7390294075012207
Random,Heuristic,55,True,Heuristic,1,9,1.8289270401000977
Random,Heuristic,56,False,Heuristic,-1,18,6.07837438583374
Random,Heuristic,57,True,Heuristic,1,11,2.5111961364746094
Random,Heuristic,58,False,Heuristic,-1,8,1.8881347179412842
Random,Heuristic,59,True,Heuristic,1,7,1.012117624282837
Random,Heuristic,60,False,Heuristic,-1,16,3.731658935546875
Random,Heuristic,61,True,Heuristic,1,5,0.5084388256072998
Random,Heuristic,62,False,Heuristic,-1,10,1.8015713691711426
Random,Heuristic,63,True,Heuristic,1,11,1.956343412399292
Random,Heuristic,64,False,Heuristic,-1,12,2.647756576538086
Random,Heuristic,65,True,Heuristic,1,5,0.5073227882385254
Random,Heuristic,66,False,Heuristic,-1,8,1.3036553859710693
Random,Heuristic,67,True,Heuristic,1,5,0.47728896141052246
Random,Heuristic,68,False,Heuristic,-1,8,1.081228494644165
Random,Heuristic,69,True,Heuristic,1,5,0.4990382194519043
Random,Heuristic,70,False,Heuristic,-1,16,4.799612522125244
Random,Heuristic,71,True,Heuristic,1,9,1.6943848133087158
Random,Heuristic,72,False,Heuristic,-1,6,0.8136672973632812
Random,Heuristic,73,True,Heuristic,1,7,0.8060367107391357
Random,Heuristic,74,False,Heuristic,-1,10,1.8241827487945557
Random,Heuristic,75,True,Heuristic,1,5,0.6139583587646484
Random,Heuristic,76,False,Heuristic,-1,6,0.7174673080444336
Random,Heuristic,77,True,Heuristic,1,5,0.4612867832183838
Random,Heuristic,78,False,Heuristic,-1,8,1.2169427871704102
Random,Heuristic,79,True,Heuristic,1,9,2.1032116413116455
Random,Heuristic,80,False,Heuristic,-1,6,0.5532934665679932
Random,Heuristic,81,True,Heuristic,1,7,0.9443032741546631
Random,Heuristic,82,False,Heuristic,-1,12,3.9642398357391357
Random,Heuristic,83,True,Heuristic,1,7,0.8456242084503174
Random,Heuristic,84,False,Heuristic,-1,10,1.2125577926635742
Random,Heuristic,85,True,Heuristic,1,7,1.1285972595214844
Random,Heuristic,86,False,Heuristic,-1,8,1.1898715496063232
Random,Heuristic,87,True,Heuristic,1,9,1.3311734199523926
Random,Heuristic,88,False,Heuristic,-1,6,0.716902494430542
Random,Heuristic,89,True,Heuristic,1,9,1.234635591506958
Random,Heuristic,90,False,Heuristic,-1,4,0.2271561622619629
Random,Heuristic,91,True,Heuristic,1,5,0.43787693977355957
Random,Heuristic,92,False,Heuristic,-1,8,1.1092963218688965
Random,Heuristic,93,True,Heuristic,1,9,1.7605090141296387
Random,Heuristic,94,False,Heuristic,-1,6,0.6599621772766113
Random,Heuristic,95,True,Heuristic,1,7,0.9220550060272217
Random,Heuristic,96,False,Heuristic,-1,10,2.057443380355835
Random,Heuristic,97,True,Heuristic,1,11,3.6643025875091553
Random,Heuristic,98,False,Heuristic,-1,18,5.590108156204224
Random,Heuristic,99,True,Heuristic,1,5,0.42493772506713867
Random,AlphaBeta-new-d3,0,False,AlphaBeta-new-d3,-1,6,11.939205884933472
Random,AlphaBeta-new-d3,1,True,AlphaBeta-new-d3,1,7,8.098801374435425
Random,AlphaBeta-new-d3,2,False,AlphaBeta-new-d3,-1,12,19.127290725708008
Random,AlphaBeta-new-d3,3,True,AlphaBeta-new-d3,1,13,22.9626247882843
