source_run,game_key,bot_a,bot_b,game_index,swapped,winner,winner_raw,num_moves,time
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__120,AlphaBeta-new-d3,MCTS-old-100,120,False,MCTS-old-100,-1,8,9.169914484024048
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__121,AlphaBeta-new-d3,MCTS-old-100,121,True,MCTS-old-100,1,7,7.326447010040283
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__122,AlphaBeta-new-d3,MCTS-old-100,122,False,AlphaBeta-new-d3,1,6,6.780357837677002
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__123,AlphaBeta-new-d3,MCTS-old-100,123,True,AlphaBeta-new-d3,-1,10,12.398600101470947
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__124,AlphaBeta-new-d3,MCTS-old-100,124,False,MCTS-old-100,-1,20,29.13229489326477
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__125,AlphaBeta-new-d3,MCTS-old-100,125,True,MCTS-old-100,1,13,15.437166690826416
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__126,AlphaBeta-new-d3,MCTS-old-100,126,False,AlphaBeta-new-d3,1,23,34.13727927207947
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__127,AlphaBeta-new-d3,MCTS-old-100,127,True,MCTS-old-100,1,7,6.5843095779418945
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__128,AlphaBeta-new-d3,MCTS-old-100,128,False,MCTS-old-100,-1,12,13.744266748428345
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__129,AlphaBeta-new-d3,MCTS-old-100,129,True,MCTS-old-100,1,15,21.837483167648315
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__130,AlphaBeta-new-d3,MCTS-old-100,130,False,AlphaBeta-new-d3,1,13,18.280254364013672
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__131,AlphaBeta-new-d3,MCTS-old-100,131,True,MCTS-old-100,1,6,7.371962547302246
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__132,AlphaBeta-new-d3,MCTS-old-100,132,False,MCTS-old-100,-1,6,4.962759017944336
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__133,AlphaBeta-new-d3,MCTS-old-100,133,True,AlphaBeta-new-d3,-1,8,9.583039283752441
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__134,AlphaBeta-new-d3,MCTS-old-100,134,False,MCTS-old-100,-1,6,6.447002649307251
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__135,AlphaBeta-new-d3,MCTS-old-100,135,True,MCTS-old-100,1,21,34.02953314781189
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__136,AlphaBeta-new-d3,MCTS-old-100,136,False,MCTS-old-100,-1,6,5.940394401550293
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__137,AlphaBeta-new-d3,MCTS-old-100,137,True,MCTS-old-100,1,9,11.692760705947876
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__138,AlphaBeta-new-d3,MCTS-old-100,138,False,draw,0,50,85.61040711402893
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__139,AlphaBeta-new-d3,MCTS-old-100,139,True,MCTS-old-100,1,7,8.587743043899536
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__140,AlphaBeta-new-d3,MCTS-old-100,140,False,MCTS-old-100,-1,12,16.06685733795166
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__141,AlphaBeta-new-d3,MCTS-old-100,141,True,MCTS-old-100,1,11,12.202274560928345
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__142,AlphaBeta-new-d3,MCTS-old-100,142,False,MCTS-old-100,-1,10,12.39553165435791
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__143,AlphaBeta-new-d3,MCTS-old-100,143,True,AlphaBeta-new-d3,-1,33,48.25863456726074
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__144,AlphaBeta-new-d3,MCTS-old-100,144,False,draw,0,50,84.49962568283081
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__145,AlphaBeta-new-d3,MCTS-old-100,145,True,MCTS-old-100,1,5,4.286132335662842
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__146,AlphaBeta-new-d3,MCTS-old-100,146,False,MCTS-old-100,-1,8,9.66477346420288
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__147,AlphaBeta-new-d3,MCTS-old-100,147,True,MCTS-old-100,1,7,6.724400520324707
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__148,AlphaBeta-new-d3,MCTS-old-100,148,False,MCTS-old-100,-1,6,5.366944789886475
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__149,AlphaBeta-new-d3,MCTS-old-100,149,True,MCTS-old-100,1,13,15.838891506195068
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__150,AlphaBeta-new-d3,MCTS-old-100,150,False,MCTS-old-100,-1,16,21.716893434524536
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__151,AlphaBeta-new-d3,MCTS-old-100,151,True,MCTS-old-100,1,7,7.833192348480225
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__152,AlphaBeta-new-d3,MCTS-old-100,152,False,MCTS-old-100,-1,10,9.916243314743042
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__153,AlphaBeta-new-d3,MCTS-old-100,153,True,AlphaBeta-new-d3,-1,6,6.30265212059021
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__154,AlphaBeta-new-d3,MCTS-old-100,154,False,AlphaBeta-new-d3,1,16,20.131301879882812
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__155,AlphaBeta-new-d3,MCTS-old-100,155,True,MCTS-old-100,1,13,14.726316452026367
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__156,AlphaBeta-new-d3,MCTS-old-100,156,False,MCTS-old-100,-1,8,8.467214822769165
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__157,AlphaBeta-new-d3,MCTS-old-100,157,True,MCTS-old-100,1,7,7.694497585296631
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__158,AlphaBeta-new-d3,MCTS-old-100,158,False,AlphaBeta-new-d3,1,5,4.889069318771362
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__159,AlphaBeta-new-d3,MCTS-old-100,159,True,MCTS-old-100,1,17,22.690645933151245
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__160,AlphaBeta-new-d3,MCTS-old-100,160,False,AlphaBeta-new-d3,1,22,35.102810859680176
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__161,AlphaBeta-new-d3,MCTS-old-100,161,True,MCTS-old-100,1,11,12.650932312011719
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__162,AlphaBeta-new-d3,MCTS-old-100,162,False,MCTS-old-100,-1,6,6.758898019790649
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__163,AlphaBeta-new-d3,MCTS-old-100,163,True,MCTS-old-100,1,13,15.05113673210144
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__164,AlphaBeta-new-d3,MCTS-old-100,164,False,MCTS-old-100,-1,10,12.05500340461731
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__165,AlphaBeta-new-d3,MCTS-old-100,165,True,MCTS-old-100,1,11,14.406867980957031
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__166,AlphaBeta-new-d3,MCTS-old-100,166,False,MCTS-old-100,-1,6,5.9602580070495605
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__167,AlphaBeta-new-d3,MCTS-old-100,167,True,MCTS-old-100,1,23,35.89455223083496
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__168,AlphaBeta-new-d3,MCTS-old-100,168,False,MCTS-old-100,-1,6,5.377058029174805
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__169,AlphaBeta-new-d3,MCTS-old-100,169,True,MCTS-old-100,1,11,15.163812398910522
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__170,AlphaBeta-new-d3,MCTS-old-100,170,False,MCTS-old-100,-1,9,10.449921131134033
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__171,AlphaBeta-new-d3,MCTS-old-100,171,True,AlphaBeta-new-d3,-1,9,12.193484783172607
main_tournament_resume_3,AlphaBeta-new-d3__VS__MCTS-old-100__GAME__172,AlphaBeta-new-d3,MCTS-old-100,172,False,MCTS-old-100,-1,8,8.252490043640137
