bot_a,bot_b,game_index,swapped,winner,winner_raw,num_moves,time
Random,Heuristic,0,False,Heuristic,-1,10,1.9471256732940674
Random,Heuristic,1,True,Heuristic,1,9,1.6385905742645264
Random,Heuristic,2,False,Heuristic,-1,8,1.322521448135376
Random,Heuristic,3,True,Heuristic,1,9,1.8294377326965332
Random,Heuristic,4,False,Heuristic,-1,8,1.1728239059448242
Random,Heuristic,5,True,Heuristic,1,5,0.5194859504699707
Random,Heuristic,6,False,Heuristic,-1,8,0.9029340744018555
Random,Heuristic,7,True,Heuristic,1,5,0.4402585029602051
Random,Heuristic,8,False,Heuristic,-1,8,0.7629573345184326
Random,Heuristic,9,True,Heuristic,1,9,1.978503704071045
Random,Heuristic,10,False,Heuristic,-1,6,0.6143176555633545
Random,Heuristic,11,True,Heuristic,1,7,1.042898178100586
Random,Heuristic,12,False,Heuristic,-1,10,2.287299871444702
Random,Heuristic,13,True,Heuristic,1,9,1.7075092792510986
Random,Heuristic,14,False,Heuristic,-1,8,1.1833057403564453
Random,Heuristic,15,True,Heuristic,1,9,1.6674308776855469
Random,Heuristic,16,False,Heuristic,-1,10,1.6439847946166992
Random,Heuristic,17,True,Heuristic,1,11,1.860924243927002
Random,Heuristic,18,False,Heuristic,-1,10,1.7225346565246582
Random,Heuristic,19,True,Heuristic,1,7,1.2055351734161377
Random,Heuristic,20,False,Heuristic,-1,8,1.4229178428649902
Random,Heuristic,21,True,Heuristic,1,7,1.142871379852295
Random,Heuristic,22,False,Heuristic,-1,8,1.5099122524261475
Random,Heuristic,23,True,Heuristic,1,17,5.001925230026245
Random,Heuristic,24,False,Heuristic,-1,10,1.186791181564331
Random,Heuristic,25,True,Heuristic,1,11,2.289200782775879
Random,Heuristic,26,False,Heuristic,-1,12,3.227105140686035
Random,Heuristic,27,True,Heuristic,1,13,3.416724443435669
Random,Heuristic,28,False,Heuristic,-1,8,1.0851800441741943
Random,Heuristic,29,True,Heuristic,1,13,2.426644802093506
Random,Heuristic,30,False,Heuristic,-1,6,0.6754794120788574
Random,Heuristic,31,True,Heuristic,1,7,0.9040679931640625
Random,Heuristic,32,False,Heuristic,-1,6,0.752885103225708
Random,Heuristic,33,True,Heuristic,1,13,3.802380084991455
Random,Heuristic,34,False,Heuristic,-1,8,1.2694287300109863
Random,Heuristic,35,True,Heuristic,1,9,1.9060773849487305
Random,Heuristic,36,False,Heuristic,-1,10,2.0505876541137695
Random,Heuristic,37,True,Heuristic,1,11,2.9672060012817383
Random,Heuristic,38,False,Heuristic,-1,6,0.713648796081543
Random,Heuristic,39,True,Heuristic,1,5,0.5030980110168457
Random,Heuristic,40,False,Heuristic,-1,10,2.2852261066436768
Random,Heuristic,41,True,Heuristic,1,15,3.5280749797821045
Random,Heuristic,42,False,Heuristic,-1,8,1.8037893772125244
Random,Heuristic,43,True,Heuristic,1,5,0.44097399711608887
Random,Heuristic,44,False,Heuristic,-1,14,4.351305723190308
Random,Heuristic,45,True,Heuristic,1,11,2.150190830230713
Random,Heuristic,46,False,Heuristic,-1,8,1.2601158618927002
Random,Heuristic,47,True,Heuristic,1,7,1.0154774188995361
Random,Heuristic,48,False,Heuristic,-1,8,1.6105194091796875
Random,Heuristic,49,True,Heuristic,1,10,2.615203619003296
Random,Heuristic,50,False,Heuristic,-1,6,0.7107076644897461
Random,Heuristic,51,True,Heuristic,1,7,1.101705551147461
Random,Heuristic,52,False,Heuristic,-1,8,1.7203130722045898
Random,Heuristic,53,True,Heuristic,1,5,0.5458085536956787
Random,Heuristic,54,False,Heuristic,-1,8,1.1343882083892822
Random,Heuristic,55,True,Heuristic,1,7,1.2364082336425781
Random,Heuristic,56,False,Heuristic,-1,12,2.8763601779937744
Random,Heuristic,57,True,Heuristic,1,13,3.7255358695983887
Random,Heuristic,58,False,Heuristic,-1,6,0.6573226451873779
Random,Heuristic,59,True,Heuristic,1,6,0.9420475959777832
Random,Heuristic,60,False,Heuristic,-1,8,1.2731492519378662
Random,Heuristic,61,True,Heuristic,1,7,0.7869977951049805
Random,Heuristic,62,False,Heuristic,-1,6,0.6390171051025391
Random,Heuristic,63,True,Heuristic,1,7,0.8712179660797119
Random,Heuristic,64,False,Heuristic,-1,10,2.434547185897827
Random,Heuristic,65,True,Heuristic,1,9,1.217254400253296
Random,Heuristic,66,False,Heuristic,-1,8,1.805823802947998
Random,Heuristic,67,True,Heuristic,1,13,3.560818910598755
Random,Heuristic,68,False,Heuristic,-1,6,0.648705005645752
Random,Heuristic,69,True,Heuristic,1,5,0.48152589797973633
Random,Heuristic,70,False,Heuristic,-1,6,0.7257750034332275
