game_key,bot_a,bot_b,game_index,swapped,winner,winner_raw,num_moves,time
Heuristic__VS__MCTS-old-100__GAME__7,Heuristic,MCTS-old-100,7,True,Heuristic,-1,30,55.30422306060791
Heuristic__VS__MCTS-old-100__GAME__8,Heuristic,MCTS-old-100,8,False,Heuristic,1,13,11.87546992301941
Heuristic__VS__MCTS-old-100__GAME__9,Heuristic,MCTS-old-100,9,True,Heuristic,-1,5,4.2433693408966064
Heuristic__VS__MCTS-old-100__GAME__10,Heuristic,MCTS-old-100,10,False,Heuristic,1,19,28.000418663024902
Heuristic__VS__MCTS-old-100__GAME__11,Heuristic,MCTS-old-100,11,True,draw,0,50,70.60007667541504
Heuristic__VS__MCTS-old-100__GAME__12,Heuristic,MCTS-old-100,12,False,Heuristic,1,6,5.842244863510132
Heuristic__VS__MCTS-old-100__GAME__13,Heuristic,MCTS-old-100,13,True,Heuristic,-1,10,9.89578127861023
Heuristic__VS__MCTS-old-100__GAME__14,Heuristic,MCTS-old-100,14,False,Heuristic,1,27,36.38978028297424
Heuristic__VS__MCTS-old-100__GAME__15,Heuristic,MCTS-old-100,15,True,Heuristic,-1,7,6.289790630340576
Heuristic__VS__MCTS-old-100__GAME__16,Heuristic,MCTS-old-100,16,False,Heuristic,1,13,12.727749109268188
Heuristic__VS__MCTS-old-100__GAME__17,Heuristic,MCTS-old-100,17,True,Heuristic,-1,36,49.616376638412476
Heuristic__VS__MCTS-old-100__GAME__18,Heuristic,MCTS-old-100,18,False,Heuristic,1,9,8.880865573883057
Heuristic__VS__MCTS-old-100__GAME__19,Heuristic,MCTS-old-100,19,True,Heuristic,-1,9,9.831067562103271
Heuristic__VS__MCTS-old-100__GAME__20,Heuristic,MCTS-old-100,20,False,Heuristic,1,11,10.042564392089844
Heuristic__VS__MCTS-old-100__GAME__21,Heuristic,MCTS-old-100,21,True,Heuristic,-1,7,6.458389759063721
Heuristic__VS__MCTS-old-100__GAME__22,Heuristic,MCTS-old-100,22,False,Heuristic,1,4,2.876865863800049
