bot_a,bot_b,game_index,swapped,winner,winner_raw,num_moves,time
Random,Heuristic,0,False,Heuristic,-1,8,1.1771502494812012
Random,Heuristic,1,True,Heuristic,1,7,1.166311502456665
Random,Heuristic,2,False,Heuristic,-1,10,2.6566121578216553
Random,Heuristic,3,True,Heuristic,1,5,0.5359995365142822
Random,Heuristic,4,False,Heuristic,-1,10,1.9309546947479248
Random,Heuristic,5,True,Heuristic,1,9,2.065000534057617
Random,Heuristic,6,False,Heuristic,-1,8,1.097872257232666
Random,Heuristic,7,True,Heuristic,1,15,4.027756690979004
Random,Heuristic,8,False,Heuristic,-1,12,2.982591390609741
Random,Heuristic,9,True,Heuristic,1,7,1.0453691482543945
Random,Heuristic,10,False,Heuristic,-1,16,4.805134534835815
Random,Heuristic,11,True,Heuristic,1,5,0.48505377769470215
Random,Heuristic,12,False,Heuristic,-1,6,0.7234640121459961
Random,Heuristic,13,True,Heuristic,1,9,1.4400358200073242
Random,Heuristic,14,False,Heuristic,-1,10,2.0797722339630127
Random,Heuristic,15,True,Heuristic,1,7,1.067784309387207
Random,Heuristic,16,False,Heuristic,-1,10,1.3964588642120361
Random,Heuristic,17,True,Heuristic,1,9,1.8508210182189941
Random,Heuristic,18,False,Heuristic,-1,16,4.995234727859497
Random,Heuristic,19,True,Heuristic,1,9,1.6759288311004639
Random,Heuristic,20,False,Heuristic,-1,10,1.845435619354248
Random,Heuristic,21,True,Heuristic,1,9,1.821753978729248
Random,Heuristic,22,False,Heuristic,-1,10,2.235337495803833
Random,Heuristic,23,True,Heuristic,1,7,1.04923415184021
Random,Heuristic,24,False,Heuristic,-1,10,1.6827127933502197
Random,Heuristic,25,True,Heuristic,1,7,0.7769584655761719
Random,Heuristic,26,False,Heuristic,-1,12,2.752004384994507
Random,Heuristic,27,True,Heuristic,1,9,1.86069655418396
Random,Heuristic,28,False,Heuristic,-1,10,2.0872039794921875
Random,Heuristic,29,True,Heuristic,1,7,0.994373083114624
Random,Heuristic,30,False,Heuristic,-1,8,1.5259552001953125
Random,Heuristic,31,True,Heuristic,1,5,0.4846231937408447
Random,Heuristic,32,False,Heuristic,-1,6,0.5073118209838867
Random,Heuristic,33,True,Heuristic,1,13,3.1563146114349365
Random,Heuristic,34,False,Heuristic,-1,10,2.0012474060058594
Random,Heuristic,35,True,Heuristic,1,13,3.803469181060791
Random,Heuristic,36,False,Heuristic,-1,8,1.3163909912109375
Random,Heuristic,37,True,Heuristic,1,15,4.6074347496032715
Random,Heuristic,38,False,Heuristic,-1,10,2.5230605602264404
Random,Heuristic,39,True,Heuristic,1,7,0.9677329063415527
Random,Heuristic,40,False,Heuristic,-1,6,0.6952524185180664
Random,Heuristic,41,True,Heuristic,1,9,2.0931224822998047
Random,Heuristic,42,False,Heuristic,-1,14,2.7544760704040527
Random,Heuristic,43,True,Heuristic,1,23,6.984621047973633
Random,Heuristic,44,False,Heuristic,-1,10,2.928351640701294
Random,Heuristic,45,True,Heuristic,1,9,2.0308804512023926
Random,Heuristic,46,False,Heuristic,-1,12,2.839402914047241
Random,Heuristic,47,True,Heuristic,1,7,0.8998236656188965
Random,Heuristic,48,False,Heuristic,-1,6,0.5807104110717773
Random,Heuristic,49,True,Heuristic,1,5,0.4192543029785156
Random,AlphaBeta-new-d3,0,False,AlphaBeta-new-d3,-1,18,11.628451824188232
Random,AlphaBeta-new-d3,1,True,AlphaBeta-new-d3,1,7,3.9679300785064697
Random,AlphaBeta-new-d3,2,False,AlphaBeta-new-d3,-1,6,2.269350290298462
Random,AlphaBeta-new-d3,3,True,AlphaBeta-new-d3,1,5,1.3388049602508545
Random,AlphaBeta-new-d3,4,False,AlphaBeta-new-d3,-1,8,3.2942709922790527
Random,AlphaBeta-new-d3,5,True,AlphaBeta-new-d3,1,9,3.774521589279175
Random,AlphaBeta-new-d3,6,False,AlphaBeta-new-d3,-1,12,5.869420766830444
Random,AlphaBeta-new-d3,7,True,AlphaBeta-new-d3,1,9,5.15952467918396
Random,AlphaBeta-new-d3,8,False,AlphaBeta-new-d3,-1,10,5.395902872085571
Random,AlphaBeta-new-d3,9,True,Random,-1,8,4.5470335483551025
Random,AlphaBeta-new-d3,10,False,AlphaBeta-new-d3,-1,14,6.252335071563721
Random,AlphaBeta-new-d3,11,True,AlphaBeta-new-d3,1,13,7.2123777866363525
Random,AlphaBeta-new-d3,12,False,AlphaBeta-new-d3,-1,8,3.6916146278381348
Random,AlphaBeta-new-d3,13,True,AlphaBeta-new-d3,1,31,21.63747787475586
Random,AlphaBeta-new-d3,14,False,AlphaBeta-new-d3,-1,18,10.113157987594604
Random,AlphaBeta-new-d3,15,True,AlphaBeta-new-d3,1,5,2.4057555198669434
Random,AlphaBeta-new-d3,16,False,AlphaBeta-new-d3,-1,18,9.1790771484375
Random,AlphaBeta-new-d3,17,True,AlphaBeta-new-d3,1,15,7.424774408340454
Random,AlphaBeta-new-d3,18,False,Random,1,10,6.062476634979248
Random,AlphaBeta-new-d3,19,True,AlphaBeta-new-d3,1,25,14.463595867156982
Random,AlphaBeta-new-d3,20,False,AlphaBeta-new-d3,-1,6,2.2340304851531982
Random,AlphaBeta-new-d3,21,True,AlphaBeta-new-d3,1,7,3.1425399780273438
Random,AlphaBeta-new-d3,22,False,AlphaBeta-new-d3,-1,50,31.6607666015625
Random,AlphaBeta-new-d3,23,True,AlphaBeta-new-d3,1,13,7.717413663864136
Random,AlphaBeta-new-d3,24,False,AlphaBeta-new-d3,-1,8,3.007286787033081
Random,AlphaBeta-new-d3,25,True,AlphaBeta-new-d3,1,11,6.356030225753784
Random,AlphaBeta-new-d3,26,False,AlphaBeta-new-d3,-1,8,2.9663078784942627
Random,AlphaBeta-new-d3,27,True,Random,-1,5,2.8937807083129883
Random,AlphaBeta-new-d3,28,False,AlphaBeta-new-d3,-1,8,3.4817519187927246
Random,AlphaBeta-new-d3,29,True,AlphaBeta-new-d3,1,9,5.017494440078735
Random,AlphaBeta-new-d3,30,False,AlphaBeta-new-d3,-1,44,31.873698711395264
Random,AlphaBeta-new-d3,31,True,AlphaBeta-new-d3,1,5,2.0462329387664795
Random,AlphaBeta-new-d3,32,False,AlphaBeta-new-d3,-1,14,6.91836953163147
Random,AlphaBeta-new-d3,33,True,AlphaBeta-new-d3,1,6,2.7127268314361572
Random,AlphaBeta-new-d3,34,False,draw,0,100,52.206581354141235
Random,AlphaBeta-new-d3,35,True,AlphaBeta-new-d3,1,35,22.583231687545776
Random,AlphaBeta-new-d3,36,False,AlphaBeta-new-d3,-1,12,5.354815721511841
Random,AlphaBeta-new-d3,37,True,AlphaBeta-new-d3,1,7,3.3879947662353516
Random,AlphaBeta-new-d3,38,False,AlphaBeta-new-d3,-1,6,2.3460440635681152
Random,AlphaBeta-new-d3,39,True,AlphaBeta-new-d3,1,7,3.254239320755005
Random,AlphaBeta-new-d3,40,False,AlphaBeta-new-d3,-1,22,13.723131656646729
Random,AlphaBeta-new-d3,41,True,AlphaBeta-new-d3,1,21,11.652454137802124
Random,AlphaBeta-new-d3,42,False,AlphaBeta-new-d3,-1,6,2.4071240425109863
Random,AlphaBeta-new-d3,43,True,AlphaBeta-new-d3,1,13,6.919854164123535
Random,AlphaBeta-new-d3,44,False,AlphaBeta-new-d3,-1,22,9.959099531173706
Random,AlphaBeta-new-d3,45,True,AlphaBeta-new-d3,1,11,6.113759994506836
Random,AlphaBeta-new-d3,46,False,AlphaBeta-new-d3,-1,6,1.906054973602295
Random,AlphaBeta-new-d3,47,True,AlphaBeta-new-d3,1,5,2.003741979598999
Random,AlphaBeta-new-d3,48,False,AlphaBeta-new-d3,-1,16,8.365272760391235
Random,AlphaBeta-new-d3,49,True,Random,-1,7,4.293148756027222
Random,MCTS-old-500,0,False,draw,0,100,222.06652879714966
Random,MCTS-old-500,1,True,Random,-1,7,15.890795230865479
Random,MCTS-old-500,2,False,MCTS-old-500,-1,29,56.77790307998657
Random,MCTS-old-500,3,True,draw,0,100,228.1459879875183
Random,MCTS-old-500,4,False,draw,0,100,219.29099678993225
Random,MCTS-old-500,5,True,draw,0,100,251.78003215789795
Random,MCTS-old-500,6,False,draw,0,100,217.41985440254211
Random,MCTS-old-500,7,True,Random,-1,7,15.621859550476074
Random,MCTS-old-500,8,False,MCTS-old-500,-1,49,105.99567031860352
Random,MCTS-old-500,9,True,MCTS-old-500,1,22,51.009817123413086
Random,MCTS-old-500,10,False,Random,1,65,172.08047699928284
Random,MCTS-old-500,11,True,Random,-1,9,19.60698652267456
Random,MCTS-old-500,12,False,Random,1,36,86.31066131591797
Random,MCTS-old-500,13,True,Random,-1,7,15.14958143234253
Random,MCTS-old-500,14,False,draw,0,100,226.47888374328613
Random,MCTS-old-500,15,True,draw,0,100,222.55896711349487
Random,MCTS-old-500,16,False,Random,1,20,37.80370569229126
Random,MCTS-old-500,17,True,MCTS-old-500,1,36,77.22767376899719
Random,MCTS-old-500,18,False,draw,0,100,223.86850214004517
Random,MCTS-old-500,19,True,draw,0,100,246.28357434272766
Random,MCTS-old-500,20,False,draw,0,100,226.53626942634583
Random,MCTS-old-500,21,True,draw,0,100,228.96961522102356
Random,MCTS-old-500,22,False,Random,1,22,52.55489635467529
Random,MCTS-old-500,23,True,draw,0,100,224.64076972007751
Random,MCTS-old-500,24,False,draw,0,100,222.53775143623352
Random,MCTS-old-500,25,True,draw,0,100,227.66917824745178
Random,MCTS-old-500,26,False,Random,1,10,19.80414628982544
Random,MCTS-old-500,27,True,MCTS-old-500,1,14,28.50963830947876
Random,MCTS-old-500,28,False,draw,0,100,220.7243344783783
Random,MCTS-old-500,29,True,draw,0,100,223.70571208000183
Random,MCTS-old-500,30,False,Random,1,38,72.31272339820862
Random,MCTS-old-500,31,True,draw,0,100,219.10176992416382
Random,MCTS-old-500,32,False,Random,1,6,12.27791953086853
Random,MCTS-old-500,33,True,draw,0,100,239.16106796264648
Random,MCTS-old-500,34,False,draw,0,100,229.80944967269897
Random,MCTS-old-500,35,True,draw,0,100,216.4094135761261
Random,MCTS-old-500,36,False,Random,1,22,40.24182462692261
Random,MCTS-old-500,37,True,draw,0,100,226.97735357284546
Random,MCTS-old-500,38,False,Random,1,47,97.39241981506348
Random,MCTS-old-500,39,True,Random,-1,19,37.832388401031494
Random,MCTS-old-500,40,False,draw,0,100,234.35287404060364
Random,MCTS-old-500,41,True,draw,0,100,222.96189403533936
Random,MCTS-old-500,42,False,Random,1,8,17.178898811340332
Random,MCTS-old-500,43,True,draw,0,100,239.02931237220764
Random,MCTS-old-500,44,False,draw,0,100,214.0953860282898
Random,MCTS-old-500,45,True,draw,0,100,224.32376217842102
Random,MCTS-old-500,46,False,MCTS-old-500,-1,11,19.54299569129944
Random,MCTS-old-500,47,True,draw,0,100,232.24173951148987
Random,MCTS-old-500,48,False,Random,1,12,22.387940406799316
Random,MCTS-old-500,49,True,draw,0,100,226.41787838935852
Random,MCTS-new-300,0,False,draw,0,100,163.0820333957672
Random,MCTS-new-300,1,True,draw,0,100,197.00927448272705
Random,MCTS-new-300,2,False,draw,0,100,208.18411827087402
Random,MCTS-new-300,3,True,draw,0,100,232.9332537651062
Random,MCTS-new-300,4,False,MCTS-new-300,-1,31,35.093626499176025
Random,MCTS-new-300,5,True,Random,-1,36,65.41651749610901
Random,MCTS-new-300,6,False,Random,1,8,9.55024266242981
Random,MCTS-new-300,7,True,draw,0,100,159.90275478363037
Random,MCTS-new-300,8,False,draw,0,100,190.71118879318237
Random,MCTS-new-300,9,True,draw,0,100,157.56843948364258
Random,MCTS-new-300,10,False,MCTS-new-300,-1,43,89.03884077072144
Random,MCTS-new-300,11,True,Random,-1,24,34.48347496986389
Random,MCTS-new-300,12,False,draw,0,100,181.61748385429382
Random,MCTS-new-300,13,True,draw,0,100,239.06120443344116
Random,MCTS-new-300,14,False,draw,0,100,246.9658055305481
Random,MCTS-new-300,15,True,Random,-1,25,29.001117706298828
Random,MCTS-new-300,16,False,draw,0,100,184.2423062324524
Random,MCTS-new-300,17,True,Random,-1,5,7.606353044509888
Random,MCTS-new-300,18,False,draw,0,100,157.1245322227478
Random,MCTS-new-300,19,True,Random,-1,34,49.436594009399414
Random,MCTS-new-300,20,False,draw,0,100,210.81171083450317
Random,MCTS-new-300,21,True,Random,-1,49,57.806191205978394
Random,MCTS-new-300,22,False,Random,1,11,15.881118774414062
Random,MCTS-new-300,23,True,draw,0,100,182.05823802947998
Random,MCTS-new-300,24,False,Random,1,6,7.024924278259277
Random,MCTS-new-300,25,True,MCTS-new-300,1,12,18.50059986114502
Random,MCTS-new-300,26,False,draw,0,100,153.83938908576965
Random,MCTS-new-300,27,True,draw,0,100,198.83652877807617
Random,MCTS-new-300,28,False,draw,0,100,194.17518877983093
Random,MCTS-new-300,29,True,draw,0,100,156.10271954536438
Random,MCTS-new-300,30,False,draw,0,100,186.04250931739807
Random,MCTS-new-300,31,True,draw,0,100,173.46569538116455
Random,MCTS-new-300,32,False,Random,1,30,44.61392116546631
Random,MCTS-new-300,33,True,draw,0,100,191.7232747077942
Random,MCTS-new-300,34,False,draw,0,100,150.69323205947876
Random,MCTS-new-300,35,True,draw,0,100,229.8767864704132
Random,MCTS-new-300,36,False,draw,0,100,146.0346918106079
Random,MCTS-new-300,37,True,Random,-1,10,14.546157836914062
Random,MCTS-new-300,38,False,draw,0,100,191.73906016349792
Random,MCTS-new-300,39,True,draw,0,100,196.02186942100525
Random,MCTS-new-300,40,False,Random,1,16,23.116175174713135
Random,MCTS-new-300,41,True,Random,-1,70,118.64264440536499
Random,MCTS-new-300,42,False,draw,0,100,153.76609897613525
